"grav";"catv";"sexe";"an_nais";"trajet";"voiture";"PL";"moto";"jour";"mois";"lum";"dep";"com";"agg";"casque";"gilet"
4;80;1;2007;5;1;0;0;21;3;1;"50";"50129";2;0;0
4;1;1;1974;1;1;0;0;22;3;1;"45";"45284";2;1;0
4;1;1;2011;2;1;0;0;22;3;1;"41";"41295";2;0;0
3;1;1;1975;5;1;0;0;22;3;3;"35";"35238";2;1;1
4;1;2;2000;1;1;0;0;9;7;1;"59";"59350";2;0;0
4;1;1;1948;3;1;0;0;9;7;1;"56";"56260";2;0;0
4;1;1;1995;9;1;0;0;22;3;1;"25";"25056";2;1;0
4;1;1;2015;0;1;0;0;9;7;1;"51";"51454";2;0;0
2;1;1;1947;0;0;1;0;22;3;1;"21";"21231";2;0;0
4;1;2;1966;5;1;0;0;21;3;1;"18";"18279";2;0;0
4;1;2;2005;5;0;0;0;22;3;3;"75";"75117";2;0;0
4;1;1;1985;1;1;0;0;22;3;1;"75";"75116";2;0;0
4;1;1;1987;1;0;0;0;21;3;1;"75";"75114";2;1;0
4;1;2;1995;2;0;0;0;21;3;1;"75";"75114";2;0;0
3;1;1;1949;0;1;0;0;9;7;1;"07";"07102";2;0;0
4;1;1;1959;0;1;0;0;9;7;1;"06";"06069";2;0;0
4;1;1;1999;9;1;0;0;18;9;1;"75";"75111";2;0;0
4;1;1;2001;1;1;0;0;28;10;3;"88";"88487";2;0;1
4;80;1;1955;9;1;0;0;9;7;1;"75";"75117";2;0;0
4;1;1;1972;9;1;0;0;9;7;1;"75";"75116";2;0;0
4;1;2;1978;0;1;0;0;26;11;1;"44";"44109";2;0;0
4;1;1;1966;5;0;0;0;18;9;3;"93";"93048";2;0;0
4;1;2;1993;1;1;0;0;9;7;1;"75";"75113";2;0;0
4;1;2;1998;1;1;0;0;19;12;1;"69";"69270";1;0;1
4;1;2;1967;5;0;0;0;18;9;1;"92";"92012";2;1;0
4;1;2;1964;9;1;0;0;9;7;3;"75";"75110";2;0;0
4;1;2;1957;1;0;0;0;9;7;1;"75";"75101";2;1;0
4;1;1;2005;5;1;0;0;9;7;1;"93";"93055";2;0;0
4;1;1;1955;9;1;0;0;9;7;1;"93";"93007";2;0;0
3;1;1;2000;1;0;1;0;19;9;1;"85";"85089";1;1;0
2;1;1;1961;5;0;0;0;7;7;1;"2B";"2B251";2;1;0
4;1;1;1990;5;0;0;1;19;9;1;"14";"14231";1;1;0
3;1;1;1956;5;1;0;0;18;9;1;"30";"30240";1;0;0
3;1;1;1975;5;0;0;0;18;9;1;"95";"95625";2;1;1
4;1;1;1953;5;1;0;0;29;11;1;"29";"29195";1;1;0
4;1;1;1979;1;0;0;0;28;11;1;"04";"04049";2;1;0
2;1;1;1962;5;0;1;0;3;7;1;"13";"13209";2;0;0
4;80;1;1964;9;1;0;0;17;9;1;"974";"97407";2;1;0
4;1;1;2017;5;1;0;0;16;9;1;"87";"87085";2;1;0
4;1;2;1990;5;0;0;0;30;4;1;"92";"92024";2;0;0
4;1;1;2004;0;1;0;0;28;11;1;"78";"78133";2;1;0
3;1;1;1998;3;1;0;0;17;9;1;"70";"70550";2;1;1
2;1;1;1963;5;0;0;0;30;4;1;"19";"19117";1;1;0
3;80;1;1969;5;0;0;0;30;4;1;"65";"65247";2;1;0
4;1;1;1985;0;1;0;0;29;11;3;"67";"67482";2;0;0
4;1;1;1971;0;1;0;0;17;9;1;"59";"59350";2;1;0
4;1;2;1978;0;0;0;0;17;9;1;"59";"59378";2;0;0
4;1;1;2005;0;0;1;0;16;9;1;"54";"54395";2;1;0
4;80;2;1967;0;1;0;0;29;11;1;"64";"64335";1;1;0
4;80;1;1986;5;1;0;0;30;4;1;"14";"14480";1;0;0
4;1;1;1973;5;1;0;0;13;9;1;"50";"50129";2;1;0
3;1;2;1961;5;1;0;0;28;11;1;"60";"60159";2;0;0
4;1;1;1970;0;1;0;0;29;11;2;"59";"59008";1;1;0
3;1;1;1981;5;1;0;0;17;9;1;"35";"35115";2;1;0
4;1;1;2011;5;0;0;0;17;9;1;"29";"29232";2;0;0
4;1;1;1989;1;0;0;0;29;11;2;"35";"35238";2;1;0
4;1;1;1952;5;1;0;0;17;9;1;"19";"19031";2;1;0
4;1;1;1994;0;1;0;0;28;11;3;"33";"33119";2;0;0
4;1;1;1948;3;1;0;0;29;11;1;"31";"31555";2;0;0
4;1;1;2008;0;0;0;0;17;9;1;"07";"07281";2;0;0
4;80;2;1987;5;1;0;0;29;11;1;"14";"14366";2;1;0
3;1;1;1983;1;1;0;0;29;11;1;"14";"14167";1;0;0
4;1;1;1990;5;0;0;0;17;9;2;"75";"75117";2;0;0
4;1;1;1987;5;0;0;0;17;9;2;"75";"75117";2;0;0
4;80;2;2001;5;0;0;1;16;9;1;"75";"75114";2;0;0
4;1;1;2001;5;0;0;0;17;9;3;"75";"75109";2;0;0
4;1;1;1967;1;0;0;1;17;9;1;"75";"75101";2;0;0
4;80;1;1988;9;1;0;0;12;8;1;"75";"75118";2;0;0
